item,item-href,title,product details,material,product code,images link-src
BuckleUpMen Leather BeltRs. 388Rs. 1295(70% OFF)Sizes: 40,https://www.myntra.com/belts/buckleup/buckleup-men-black--brown-leather-belt/1241843/buy,BuckleUp Men Black & Brown Leather Belt,"Black and brown textured belt
Secured with a tang clasp
Has holes for a customised fit","Leather
Wipe with a clean, dry cloth when needed",1241843,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1241843/2016/2/29/11456736388221-BuckleUp-Men-Belts-9681456736388108-2.jpg"
Peter EnglandMen Leather BeltRs. 1169Rs. 1299(10% OFF)Sizes: 42,https://www.myntra.com/belts/peter-england/peter-england-statements-men-brown-leather-belt/1796682/buy,Peter England Statements Men Brown Leather Belt,"Brown leather belt
Secured with a push-pin clasp
Has holes for a customised fit
Warranty: 3 months against manufacturing defects","Leather
Wipe with a clean, dry cloth when needed",1796682,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1796682/2017/4/5/11491381219072-Peter-England-Men-Belts-721491381206706-1.jpg"
BuckleUpMen Leather BeltRs. 402Rs. 1149(65% OFF)Sizes: 40,https://www.myntra.com/belts/buckleup/buckleup-men-brown-leather-belt/1734719/buy,BuckleUp Men Brown Leather Belt,"Brown leather belt
Secured with a tang clasp and a fixed loop to hold the belt in place
Holes for a customised fit
Warranty: 3 months","Leather
Wipe with a clean, dry cloth when needed",1734719,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1734719/2017/1/23/11485161143038-BuckleUp-Men-Brown-Leather-Belt-9711485161143037-3.jpg"
"Pacific GoldMen BeltRs. 411Rs. 549(25% OFF)Sizes: 32, 34, 36, 38, 40, 42, 44",https://www.myntra.com/belts/pacific-gold/pacific-gold-men-black-belt/997919/buy,Pacific Gold Men Black Belt,"Black belt
Secured with a tang clasp
Has holes for a customised fit","Synthetic leather
Wipe with a clean, dry cloth when needed",997919,"https://assets.myntassets.com/h_640,q_90,w_480/v1/image/style/properties/997919/Pacific-Gold-Men-Belts_2_f3f0060b94a2c3503e3700cf55e7639e.jpg"
BuckleUpMen BeltRs. 399Rs. 999(60% OFF)Sizes: 34,https://www.myntra.com/belts/buckleup/buckleup-men-tan-brown-belt/1791342/buy,BuckleUp Men Tan Brown Belt,"Tan brown belt 
Secured with a tang clasp 
Has holes for a customised fit
Warranty: 3 months","Synthetic leather
Wipe with a clean, dry cloth when needed",1791342,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1791342/2017/3/7/11488868420441-BuckleUp-Men-Belts-2071488868420349-2.jpg"
"Pacific GoldMen Reversible BeltRs. 399Rs. 799(50% OFF)Sizes: 32, 34, 36, 38, 40, 42, 44",https://www.myntra.com/belts/pacific-gold/pacific-gold-men-black--brown-reversible-belt/1699906/buy,Pacific Gold Men Black & Brown Reversible Belt,"Black and brown reversible belt
Secured with a tang clasp
Has holes for a customised fit","Synthetic leather
Wipe with a clean, dry cloth when needed",1699906,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1699906/2016/12/24/11482575035732-Pacific-Gold-Men-Belts-9091482575035608-1.jpg"
"BuckleUpMen Leather BeltRs. 388Rs. 1295(70% OFF)Sizes: 36, 40",https://www.myntra.com/belts/buckleup/buckleup-men-black-leather-belt/1241790/buy,BuckleUp Men Black Leather Belt,"Black belt
Secured with a tang clasp
Has holes for a customised fit","Leather
Wipe with a clean, dry cloth when needed",1241790,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1241790/2016/2/29/11456738218021-BuckleUp-Men-Belts-2081456738217935-2.jpg"
"CHISELMen Textured Leather BeltRs. 854Rs. 1899(55% OFF)Sizes: 28, 30, 32, 34",https://www.myntra.com/belts/chisel/chisel-men-black-textured-leather-belt/1984488/buy,CHISEL Men Black Textured Leather Belt,"Black textured belt
Reversible: No
Stretchable: No
Secured with a push pin closure
Warranty: 3 months","Leather 
 Wipe with a clean, dry cloth to remove dust",1984488,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1984488/2017/7/7/11499407522569-Chisel-Leather-Belt-4121499407522514-3.jpg"
BuckleUpMen Leather BeltRs. 523Rs. 1495(65% OFF)Sizes: 34,https://www.myntra.com/belts/buckleup/buckleup-men-tan-brown-leather-belt/1229411/buy,BuckleUp Men Tan Brown Leather Belt,"Tan brown textured leather belt
Secured with tang clasp
Has holes for customized fit","Leather
Wipe with a clean, dry cloth when needed",1229411,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1229411/2016/2/19/11455860794864-BuckleUp-Men-Belts-2741455860794834-3.jpg"
"Pacific GoldMen Reversible BeltRs. 449Rs. 899(50% OFF)Sizes: 32, 34, 36, 38, 40, 42, 44",https://www.myntra.com/belts/pacific-gold/pacific-gold-men-black--brown-reversible-belt/1699907/buy,Pacific Gold Men Black & Brown Reversible Belt,"Black and brown reversible belt
Secured with a tang clasp
Has holes for a customised fit","Synthetic leather
Wipe with a clean, dry cloth when needed",1699907,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1699907/2016/12/24/11482575045894-Pacific-Gold-Men-Belts-7081482575045802-3.jpg"
"Pacific GoldMen Spanish Leather BeltRs. 639Rs. 1599(60% OFF)Sizes: 32, 34, 36, 38, 40, 42, 44",https://www.myntra.com/belts/pacific-gold/pacific-gold-men-black-spanish-leather-belt/1828604/buy,Pacific Gold Men Black Spanish Leather Belt,"Black Spanish leather belt
Secured with a slider buckle closure","Spanish leather
Wipe with a clean, dry cloth when needed",1828604,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1828604/2017/3/30/11490862288755-Pacific-Gold-Men-Belts-6021490862288584-3.jpg"
BuckleUpUnisex BeltRs. 404Rs. 899(55% OFF)Sizes: 36,https://www.myntra.com/belts/buckleup/buckleup-unisex-tan-brown-belt/1241891/buy,BuckleUp Unisex Tan Brown Belt,"Tan brown belt with leather trims
Secured with D-ring closure","Synthetic and leather
Wipe with a clean, dry cloth when needed",1241891,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1241891/2016/2/29/11456736898201-BuckleUp-Unisex-Tan-Brown-Belt-1971456736898007-1.jpg"
"U.S. Polo Assn.Men Textured Leather BeltRs. 899Rs. 1799(50% OFF)Sizes: 34, 38",https://www.myntra.com/belts/us-polo-assn/us-polo-assn-men-brown-textured-leather-belt/1943398/buy,U.S. Polo Assn. Men Brown Textured Leather Belt,"Brown textured belt
Reversible: No
Stretchable: No
Secured with a tang closure
Warranty: 6 months","Leather 
 Wipe with a clean, dry cloth to remove dust",1943398,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1943398/2017/6/16/11497598987849-US-Polo-Assn-Men-Brown-Solid-Belt-8021497598987791-2.jpg"
PumaMen Reversible Genuine Leather BeltRs. 1099Rs. 1999(45% OFF)Sizes: 30,https://www.myntra.com/belts/puma/puma-men-black--white-reversible-genuine-leather-belt/1248155/buy,PUMA Men Black & White Reversible Genuine Leather Belt,"Black and white reversible genuine leather belt
Secured with a twist-and-turn tang clasp
Has holes for a customised fit
Warranty: 3 months against manufacturing defects","Genuine leather
Wipe with a clean, dry cloth when needed",1248155,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1248155/2016/4/5/11459860804262-PUMA-Men-Black--White-Reversible-Leather-Belt-7751459860804148-3.jpg"
Tommy HilfigerMen BeltRs. 1897Rs. 3450(45% OFF)Sizes: 34,https://www.myntra.com/belts/tommy-hilfiger/tommy-hilfiger-men-red--beige-belt/1123246/buy,Tommy Hilfiger Men Red & Beige Belt,"Red and beige textured belt
Secured with a tang clasp with branding
Holes for a customised fit
Warranty: 6 months","60% PU, 30% elastane and 10% polyester
Wipe with a clean, dry cloth when needed",1123246,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1123246/2016/1/4/11451887381361-Tommy-Hilfiger-Men-Red--Beige-Belt-701451887381157-2.jpg"
Tommy HilfigerBeltRs. 1787Rs. 3250(45% OFF)Sizes: 38,https://www.myntra.com/belts/tommy-hilfiger/tommy-hilfiger-green-belt/1174783/buy,Tommy Hilfiger Green Belt,"Green braided belt
Secured with a tang clasp
Warranty: 6 months from the date of purchase","Synthetic
Wipe with a clean, dry cloth when needed",1174783,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1174783/2016/2/3/11454482570714-Tommy-Hilfiger-Men-Belts-6761454482570550-2.jpg"
"RoadsterMen Handmade Leather BeltRs. 499Rs. 999(50% OFF)Sizes: 32, 34, 36",https://www.myntra.com/belts/roadster/roadster-men-brown-handmade-vintage-leather-belt/1650539/buy,Roadster Men Brown Handmade Vintage Leather Belt,"Brown handmade leather belt with textured detail
Secured with a tang clasp
Holes for a customised fit","Leather
Wipe with a clean, dry cloth when needed",1650539,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1650539/2017/2/17/11487326022045-Roadster-Men-Belts-2851487326021914-1.jpg"
"RoadsterMen Genuine Leather BeltRs. 449Rs. 1499(70% OFF)Sizes: 32, 34, 36",https://www.myntra.com/belts/roadster/roadster-men-brown-genuine-leather-belt/1467641/buy,Roadster Men Brown Genuine Leather Belt,"Brown genuine leather belt
Secured with a tang clasp
Has holes for a customised fit","Genuine Leather 
Wipe with a clean, dry cloth when needed",1467641,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1467641/2016/9/20/11474372575575-Roadster-Men-Brown-Genuine-Leather-Belt-7571474372575692-2.jpg"
"Phive RiversMen Leather BeltRs. 1499Rs. 2499(40% OFF)Sizes: 34, 36, 38, 40",https://www.myntra.com/belts/phive-rivers/phive-rivers-men-brown-leather-belt/1575476/buy,Phive Rivers Men Brown Leather Belt,Brown leather beltSecured with a tang claspHas holes for a customised fit,"Leather
Wipe with a clean, dry cloth when needed",1575476,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1575476/2016/10/4/11475565525125-Phive-Rivers-Men-Belts-721475565525027-2.jpg"
"CHISELMen Leather BeltRs. 764Rs. 1699(55% OFF)Sizes: 32, 34, 36, 38, 40",https://www.myntra.com/belts/chisel/chisel-men-black-textured-leather-belt/1875994/buy,CHISEL Men Black Textured Leather Belt,"Black textured leather belt
Secured with a slider buckle
Has holes for a customised fit
Warranty: 3 months against manufacturing defects","Leather
Wipe with a clean, dry cloth when needed",1875994,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1875994/2017/4/28/11493380989512-CHISEL-Men-Black-Textured-Leather-Belt-361493380989427-3.jpg"
"Pacific GoldMen BeltRs. 399Rs. 799(50% OFF)Sizes: 32, 34, 36, 38, 40, 42, 44",https://www.myntra.com/belts/pacific-gold/pacific-gold-men-brown-belt/1232442/buy,Pacific Gold Men Brown Belt,"Brown belt
Secured with a tang clasp
Has holes for a customised fit","Synthetic leather
Wipe with a clean, dry cloth when needed",1232442,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1232442/2016/2/22/11456126613390-Pacific-Gold-Men-Belts-8541456126613272-2.jpg"
"Flying MachineMen Leather BeltRs. 539Rs. 1199(55% OFF)Sizes: 36, 42",https://www.myntra.com/belts/flying-machine/flying-machine-men-black-leather-belt/1042745/buy,Flying Machine Men Black Leather Belt,Black leather beltSecured with a tang claspHas holes for a customised fit,"100% leather
Wipe with a clean, dry cloth when needed",1042745,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1042745/2015/12/22/11450773421890-Flying-Machine-Men-Black-Leather-Belt-3281450773421791-2.jpg"
"Pacific GoldMen BeltRs. 356Rs. 445(20% OFF)Sizes: 32, 34, 36, 38, 40, 42, 44",https://www.myntra.com/belts/pacific-gold/pacific-gold-men-black-belt/482770/buy,Pacific Gold Men Black Belt,"Black belt
Secured with a tang clasp
Has holes for a customised fit","Synthetic leather
Wipe with a clean, dry cloth when needed",482770,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/482770/2016/2/22/11456127275153-Pacific-Gold-Men-Black-Leather-Belt-7631456127275114-3.jpg"
Lino PerrosMen Leather Reversible BeltRs. 1695Sizes: 41,https://www.myntra.com/belts/lino-perros/lino-perros-men-black--brown-solid-genuine-leather-reversible-belt/1898246/buy,Lino Perros Men Black & Brown Solid Genuine Leather Reversible Belt,"Black and brown solid belt
Reversible: Yes
Stretchable: No
Secured with a tang closure
Warranty: No Warranty","Genuine leather 
 Wipe with a clean, dry cloth to remove dust",1898246,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1898246/2017/8/11/11502437929000-Lino-Perros-Men-Belts-5011502437928976-4.jpg"
The Riders SideMen Coffee Equestrian Classic Stirrup Iron Leather BeltRs. 1496Rs. 1995(25% OFF)Sizes: 32,https://www.myntra.com/belts/the-riders-side/the-riders-side-men-coffee-brown-equestrian-classic-stirrup-iron-leather-belt/1140643/buy,The Rider's Side Men Coffee Brown Equestrian Classic Stirrup Iron Leather Belt,"Coffee brown belt
Secured with a metallic tang clasp
Has holes for a customised fit","Leather
Wipe with a clean, dry cloth when needed",1140643,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1140643/2016/3/1/11456821032603-The-Riders-Side-Men-Coffee-Brown-Equestrian-Classic-Leather-Belt-1521456821031865-1.jpg"
"Pacific GoldMen BeltRs. 629Rs. 899(30% OFF)Sizes: 32, 34, 36, 38, 40, 42, 44",https://www.myntra.com/belts/pacific-gold/pacific-gold-men-black-belt/1232425/buy,Pacific Gold Men Black Belt,"Black belt
Secured with a tang clasp
Has holes for a customised fit","Synthetic leather
Wipe with a clean, dry cloth when needed",1232425,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1232425/2016/2/22/11456135945960-Pacific-Gold-Men-Belts-7111456135945857-2.jpg"
"Second SKINMen Reversible Leather BeltRs. 799Rs. 1999(60% OFF)Sizes: 28, 30, 32, 34, 36, 38, 40, 42",https://www.myntra.com/belts/second-skin/second-skin-men-black--brown-textured-reversible-leather-belt/1846021/buy,Second SKIN Men Black & Brown Textured Reversible Leather Belt,"Brown and black reversible textured leather belt 
Has a tang closure
Holes for a customised fit
Warranty: 6 months from the date of purchase against manufacturing defects","Leather
Wipe with a clean, dry cloth when needed",1846021,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1846021/2017/4/11/11491899138202-Second-SKIN-Men-Belts-6691491899138110-2.jpg"
"Tommy HilfigerMen Genuine Leather BeltRs. 2099Rs. 3499(40% OFF)Sizes: 40, 44",https://www.myntra.com/belts/tommy-hilfiger/tommy-hilfiger-men-navy--brown-genuine-leather-belt/1619754/buy,Tommy Hilfiger Men Navy & Brown Genuine Leather Belt,"Navy blue and brown genuine leather belt
Secured with a tang clasp
Holes for a customised fit
Comes with a pouch
Warranty: 6 months from the date of purchase","Genuine leather
Wipe with a clean, dry cloth when needed",1619754,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1619754/2016/12/12/11481526429449-Tommy-Hilfiger-Men-Navy--Brown-Genuine-Leather-Belt-8571481526429269-1.jpg"
Lino PerrosMen Genuine Leather BeltRs. 1695Sizes: 41,https://www.myntra.com/belts/lino-perros/lino-perros-men-brown-solid-genuine-leather-belt/1898258/buy,Lino Perros Men Brown Solid Genuine Leather Belt,"Brown solid belt
Reversible: No
Stretchable: No
Secured with a tang closure
Warranty: No Warranty","Genuine leather 
 Wipe with a clean, dry cloth to remove dust",1898258,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1898258/2017/8/11/11502437720632-Lino-Perros-Men-Belts-851502437721105-1.jpg"
Lino PerrosMen Reversible Leather BeltRs. 847Rs. 1695(50% OFF)Sizes: 38,https://www.myntra.com/belts/lino-perros/lino-perros-men-black--brown-reversible-leather-belt/1628704/buy,Lino Perros Men Black & Brown Reversible Leather Belt,"Black and brown reversible leather belt
Secured with a twist-and-turn tang clasp
Has holes for a customised fit","Leather
Wipe with a clean, dry cloth when needed",1628704,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1628704/2016/11/22/11479793302878-Lino-Perros-Men-Belts-2271479793302787-3.jpg"
"LevisMen Leather BeltRs. 949Rs. 1899(50% OFF)Sizes: 36, 38",https://www.myntra.com/belts/levis/levis-men-black-leather-belt/1381968/buy,Levi's Men Black Leather Belt,"Black leather belt 
Secured with a push-pin closure
Has holes for a customised fit","Leather
Wipe with a clean, dry cloth when needed",1381968,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1381968/2016/7/19/11468909024497-Levis-Men-Black-Leather-Belt-5471468909024433-3.jpg"
"BuckleUpMen Solid BeltRs. 440Rs. 1259(65% OFF)Sizes: 36, 38, 40",https://www.myntra.com/belts/buckleup/buckleup-men-brown-solid-leather-belt/1926346/buy,BuckleUp Men Brown Solid Leather Belt,"Brown solid belt
Reversible: No
Stretchable: No
Secured with a tang closure
Warranty: 3 months","Leather 
 Wipe with a clean, dry cloth to remove dust",1926346,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1926346/2017/5/25/11495712180775-BuckleUp-Men-Brown-Solid-Belt-5631495712180465-2.jpg"
"HarvardMen Leather BeltRs. 399Rs. 999(60% OFF)Sizes: 32, 34, 36",https://www.myntra.com/belts/harvard/harvard-men-tan-brown-leather-belt/1673718/buy,Harvard Men Tan Brown Leather Belt,"Tan brown leather belt
Secured with a tang clasp
Holes for a customised fit","Leather
Wipe with a clean, dry cloth when needed",1673718,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1673718/2017/3/3/11488538122126-Harvard-Men-Belts-8281488538121954-2.jpg"
"BuckleUpMen Textured Leather BeltRs. 402Rs. 1149(65% OFF)Sizes: 34, 36, 38, 40",https://www.myntra.com/belts/buckleup/buckleup-men-black-textured-leather-belt/1843988/buy,BuckleUp Men Black Textured Leather Belt,"Black leather belt
Secured with a tang clasp
Holes for a customised fit
Warranty: 3 months against manufacturing defects","Leather
Wipe with a clean, dry cloth when needed",1843988,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1843988/2017/4/10/11491813945151-BuckleUp-Men-Belts-2651491813945054-3.jpg"
"Pacific GoldMen Spanish Leather BeltRs. 959Rs. 1599(40% OFF)Sizes: 32, 34, 36, 38, 40, 42, 44",https://www.myntra.com/belts/pacific-gold/pacific-gold-men-black-spanish-leather-belt/1828600/buy,Pacific Gold Men Black Spanish Leather Belt,"Black Spanish leather belt
Secured with a slider buckle closure","Spanish leather
Wipe with a clean, dry cloth when needed",1828600,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1828600/2017/3/30/11490862268856-Pacific-Gold-Men-Belts-5111490862268740-2.jpg"
CelioMen Leather BeltRs. 454Rs. 1299(65% OFF)Sizes: 38,https://www.myntra.com/belts/celio/celio-men-black-leather-belt/1852225/buy,Celio Men Black Leather Belt,"Black belt
Secured with a tang clasp
Has holes for a customised fit","Leather
Wipe with a clean, dry cloth when needed",1852225,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1852225/2017/4/27/11493275030010-Celio-Men-Belts-4831493275029935-1.jpg"
"BuckleUpMen Solid BeltRs. 440Rs. 1259(65% OFF)Sizes: 36, 38, 40",https://www.myntra.com/belts/buckleup/buckleup-men-brown-solid-leather-belt/1926346/buy,BuckleUp Men Brown Solid Leather Belt,"Brown solid belt
Reversible: No
Stretchable: No
Secured with a tang closure
Warranty: 3 months","Leather 
 Wipe with a clean, dry cloth to remove dust",1926346,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1926346/2017/5/25/11495712180790-BuckleUp-Men-Brown-Solid-Belt-5631495712180465-1.jpg"
"BuckleUpMen BeltRs. 388Rs. 1295(70% OFF)Sizes: 34, 36, 38, 40",https://www.myntra.com/belts/buckleup/buckleup-men-black-belt/1241792/buy,BuckleUp Men Black Belt,"Black belt
Secured with a tang clasp
Has holes for a customised fit","Synthetic
Wipe with a clean, dry cloth when needed",1241792,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1241792/2016/2/29/11456745742193-BuckleUp-Men-Black--Brown-Belt-3721456745742045-1.jpg"
DandyMen Leather BeltRs. 556Rs. 795(30% OFF)Sizes: 42,https://www.myntra.com/belts/dandy/dandy-men-black-leather-belt/340647/buy,Dandy Men Black Leather Belt,"Black, leather belt with stitch detail, has a tang clasp with a fixed loop
Holes for a customised fit
Warranty: 3 months against manufacturing defects","Leather
Wipe with a clean cloth to remove dust",340647,"https://assets.myntassets.com/h_640,q_90,w_480/v1/images/style/properties/Dandy-Men-Black-Leather-Belt_ed2c3b14d140d68968700caadf8afc4c_images.jpg"
Lino PerrosMen Genuine Leather BeltRs. 1795Sizes: 38,https://www.myntra.com/belts/lino-perros/lino-perros-men-brown-solid-genuine-leather-belt/1898268/buy,Lino Perros Men Brown Solid Genuine Leather Belt,"Brown solid genuine leather belt
Reversible: No
Stretchable: No
Secured with a tang closure
Warranty: No Warranty","Genuine leather
 Wipe with a clean, dry cloth to remove dust",1898268,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1898268/2017/8/11/11502430275904-Lino-Perros-Men-Belts-2761502430275736-1.jpg"
"CHISELMen Genuine Leather BeltRs. 629Rs. 1399(55% OFF)Sizes: 34, 38",https://www.myntra.com/belts/chisel/chisel-men-black-genuine-leather-belt/1399392/buy,CHISEL Men Black Genuine Leather Belt,"Black leather belt
Secured with a tang clasp
Holes for a customised fit
Warranty: 3 months against manufacturing defects from the date of purchase","Genuine leather
Wipe with a clean, dry cloth when needed",1399392,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1399392/2016/6/17/11466145161140-CHISEL-Men-Black-Leather-Belt-7941466145161053-3.jpg"
"SPYKARMen Genuine Leather BeltRs. 599Rs. 1199(50% OFF)Sizes: 34, 38, 40",https://www.myntra.com/belts/spykar/spykar-men-tan-brown-genuine-leather-belt/1849420/buy,SPYKAR Men Tan Brown Genuine Leather Belt,"Tan genuine leather belt with cut-out detail
Reversible: No
Stretchable: No
Secured with a tang closure
Has holes for a customised fit
Warranty: No Warranty","Leather 
Wipe with a clean, dry cloth to remove dust",1849420,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1849420/2017/5/12/11494586882376-SPYKAR-Men-Tan-Solid-Belt-5791494586882294-3.jpg"
Louis PhilippeMen Genuine Leather BeltRs. 1349Rs. 1499(10% OFF)Sizes: 40,https://www.myntra.com/belts/louis-philippe/louis-philippe-men-olive-green-genuine-leather-belt/1574992/buy,Louis Philippe Men Olive Green Genuine Leather Belt,"Olive green genuine leather belt
Secured with a tang clasp
Has holes for a customised fit
Warranty: 1 year","Genuine leather
Wipe with a clean dry cloth",1574992,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1574992/2016/10/21/11477028896238-Louis-Philippe-Men-Belts-4751477028896120-1.jpg"
Lino PerrosMen Genuine Leather BeltRs. 678Rs. 1695(60% OFF)Sizes: 38,https://www.myntra.com/belts/lino-perros/lino-perros-men-black-genuine-leather-belt/1628715/buy,Lino Perros Men Black Genuine Leather Belt,"Black genuine leather belt 
Secured with a tang clasp
Has holes for a customised fit","Genuine leather
Wipe with a clean, dry cloth when needed",1628715,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1628715/2016/12/8/11481196661674-Lino-Perros-Men-Black-Genuine-Leather-Belt-7911481196661618-4.jpg"
BuckleUpMen BeltRs. 399Rs. 999(60% OFF)Sizes: 34,https://www.myntra.com/belts/buckleup/buckleup-men-brown-belt/1765104/buy,BuckleUp Men Brown Belt,"Brown belt
Secured with a tang clasp
Has holes for a customised fit
Warranty: 3 months against manufacturing defects only","Synthetic leather
Wipe with a clean, dry cloth when needed",1765104,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1765104/2017/2/16/11487227811899-BuckleUp-Men-Belts-9211487227811895-3.jpg"
"Tommy HilfigerMen Genuine Leather BeltRs. 1499Rs. 2499(40% OFF)Sizes: 40, 44",https://www.myntra.com/belts/tommy-hilfiger/tommy-hilfiger-men-navy-genuine-leather-belt/1491215/buy,Tommy Hilfiger Men Navy Genuine Leather Belt,"Navy blue genuine leather belt
Secured with a tang clasp
Holes for a customised fit
Comes with a pouch
Warranty: 6 months from the date of purchase","Genuine leather
Wipe with a clean, dry cloth when needed",1491215,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1491215/2016/9/15/11473921519518-Tommy-Hilfiger-Men-Belts-2391473921519503-4.jpg"
"CHISELMen Textured Reversible BeltRs. 719Rs. 1599(55% OFF)Sizes: 28, 30, 32, 34, 36, 38, 40, 42",https://www.myntra.com/belts/chisel/chisel-men-black--brown-textured-leather-reversible-belt/1984466/buy,CHISEL Men Black & Brown Textured Leather Reversible Belt,"Black and brown textured belt
Reversible: Yes
Stretchable: No
Secured with a tang closure
Warranty: 3 months","Leather 
 Wipe with a clean, dry cloth to remove dust",1984466,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1984466/2017/7/7/11499407358554-Chisel-Leather-Reversible-Belt-2941499407358463-1.jpg"
Tommy HilfigerMen Genuine Leather BeltRs. 1499Rs. 2499(40% OFF)Sizes: 36,https://www.myntra.com/belts/tommy-hilfiger/tommy-hilfiger-men-navy-genuine-leather-belt/1378084/buy,Tommy Hilfiger Men Navy Genuine Leather Belt,"Navy genuine leather belt
Secured with a push-pin closure
Has holes for a customised fit
Warranty: 6 months from the date of purchase","Genuine leather
Wipe with a clean, dry cloth when needed",1378084,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1378084/2016/6/22/11466577639495-Tommy-Hilfiger-Men-Navy-Genuine-Leather-Belt-491466577639374-1.jpg"
"CHISELMen Reversible Leather BeltRs. 599Rs. 1499(60% OFF)Sizes: 34, 38",https://www.myntra.com/belts/chisel/chisel-men-black--brown-reversible-leather-belt/1619723/buy,CHISEL Men Black & Brown Reversible Leather Belt,"Black and brown reversible leather belt
Secured with a tang clasp
Has holes for a customised fit
Warranty: 3 months from the date of purchase against manufacturing defects","Leather
Wipe with a clean, dry cloth when needed",1619723,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1619723/2016/11/7/11478511563897-CHISEL-Men-Black--Brown-Reversible-Leather-Belt-5381478511563778-1.jpg"
"Teakwood LeathersMen Reversible Leather BeltRs. 787Rs. 2249(65% OFF)Sizes: 34, 36, 38, 40, 42, 44",https://www.myntra.com/belts/teakwood-leathers/teakwood-leathers-men-black--brown-textured-reversible-leather-belt/1634467/buy,Teakwood Leathers Men Black & Brown Textured Reversible Leather Belt,"Black and brown textured reversible belt 
Secured with a tang clasp
Has holes for a customised fit","Leather
Wipe with a clean, dry cloth when needed",1634467,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1634467/2016/11/14/11479116745411-Teakwood-Leathers-Men-Belts-3451479116745585-4.jpg"
BuckleUpMen BeltRs. 399Rs. 999(60% OFF)Sizes: 34,https://www.myntra.com/belts/buckleup/buckleup-men-black-belt/1843989/buy,BuckleUp Men Black Belt,"Black belt
Secured with a tang clasp
Holes for a customised fit
Warranty: 3 months from the date of purchase against manufacturing defects","Synthetic leather
Wipe with a clean, dry cloth when needed",1843989,"https://assets.myntassets.com/h_640,q_90,w_480/v1/assets/images/1843989/2017/4/10/11491817395149-BuckleUp-Men-Belts-6621491817394253-1.jpg"
